,antecedent,consequent,support,confidence
0,[19],[0],0.12225065409275179,0.7155839784584316
1,"[19, 63]",[0],0.11075012219315143,0.7811802879740418
2,[19],[0],0.12225065409275179,0.7155839784584316
3,"[11, 19]",[0],0.10712745464477733,0.7728686994399503
4,[11],[1],0.13800638279520427,0.8836524300441826
5,"[11, 19]",[1],0.12785716339380696,0.9224227338726405
6,[11],[1],0.13800638279520427,0.8836524300441826
7,"[11, 12]",[1],0.11696040941893562,0.9757735668025905
8,[24],[2],0.11497656766625457,0.8057626435623615
9,"[24, 30]",[2],0.11152640809637446,0.8872369624885637
10,[24],[2],0.11497656766625457,0.8057626435623615
11,"[24, 34]",[2],0.08849659296742474,0.9688385269121812
12,[65],[3],0.07311463155170926,0.7005509641873278
13,"[8, 65]",[3],0.07245335096748225,0.7381370826010545
14,[65],[3],0.07311463155170926,0.7005509641873278
15,"[65, 67]",[3],0.07098703315028321,0.7385581812743046
16,[5],[4],0.021707253960495672,0.14611960518676212
17,"[5, 66]",[4],0.019780914867312614,0.17290776577029404
18,[5],[4],0.021707253960495672,0.14611960518676212
19,"[5, 21]",[4],0.017940829763376555,0.1509433962264151
20,[66],[5],0.11440154107127455,0.8579128934885728
21,"[64, 66]",[5],0.09390184296023692,0.8913755458515285
22,[66],[5],0.11440154107127455,0.8579128934885728
23,"[21, 66]",[5],0.09847330439032806,0.9816566351390085
24,[35],[6],0.11460280037951755,0.813469387755102
25,"[35, 39]",[6],0.09151548259106984,0.9288007003209805
26,[35],[6],0.11460280037951755,0.813469387755102
27,"[31, 35]",[6],0.09510939880969495,0.9284310973898401
28,[10],[7],0.11721917138667663,0.8467289719626168
29,"[10, 63]",[7],0.10830625916448636,0.8673727837900068
30,[10],[7],0.11721917138667663,0.8467289719626168
31,"[10, 64]",[7],0.09071044535809782,0.9094840011530702
32,[65],[8],0.09815703976308904,0.9404958677685951
33,"[3, 65]",[8],0.07245335096748225,0.9909555642941409
34,[65],[8],0.09815703976308904,0.9404958677685951
35,"[65, 67]",[8],0.09226301716454385,0.9599162428956026
36,[40],[9],0.1097150743221874,0.8831289053459848
37,"[25, 40]",[9],0.09232051982404187,0.9299160150593686
38,[40],[9],0.1097150743221874,0.8831289053459848
39,"[40, 51]",[9],0.10039964348351112,0.9522770657212981
40,[7],[10],0.11721917138667663,0.7910360884749709
41,"[7, 63]",[10],0.10830625916448636,0.9208017599608898
42,[7],[10],0.11721917138667663,0.7910360884749709
43,"[7, 64]",[10],0.09071044535809782,0.8825174825174825
44,[1],[11],0.13800638279520427,0.809989875126561
45,"[1, 19]",[11],0.12785716339380696,0.920132422925719
46,[1],[11],0.13800638279520427,0.809989875126561
47,"[1, 12]",[11],0.11696040941893562,0.8380716934487021
48,[1],[12],0.13955895460165033,0.8191022612217348
49,"[1, 11]",[12],0.11696040941893562,0.8475
50,[1],[12],0.13955895460165033,0.8191022612217348
51,"[1, 35]",[12],0.11397027112503953,0.9422391252674115
52,[14],[13],0.059515252580431846,0.9473684210526316
53,"[14, 64]",[13],0.010752997326126333,0.9639175257731959
54,[14],[13],0.059515252580431846,0.9473684210526316
55,"[14, 15]",[13],0.0016963284551910526,0.921875
56,[13],[14],0.059515252580431846,0.4329638151014432
57,"[13, 64]",[14],0.010752997326126333,0.5020134228187919
