,antecedent,consequent,support,confidence
0,[19],[0],0.12225065409275179,0.7155839784584316
1,"[19, 63]",[0],0.11075012219315143,0.7811802879740418
2,[19],[0],0.12225065409275179,0.7155839784584316
3,"[11, 19]",[0],0.10712745464477733,0.7728686994399503
4,[11],[1],0.13800638279520427,0.8836524300441826
5,"[11, 19]",[1],0.12785716339380696,0.9224227338726405
6,[11],[1],0.13800638279520427,0.8836524300441826
7,"[11, 12]",[1],0.11696040941893562,0.9757735668025905
8,[24],[2],0.11497656766625457,0.8057626435623615
9,"[24, 30]",[2],0.11152640809637446,0.8872369624885637
10,[24],[2],0.11497656766625457,0.8057626435623615
11,"[24, 34]",[2],0.08849659296742474,0.9688385269121812
12,[8],[3],0.0838963802075846,0.5712607674236491
13,"[8, 65]",[3],0.07245335096748225,0.7381370826010545
14,[8],[3],0.0838963802075846,0.5712607674236491
15,"[8, 39]",[3],0.0739771714441793,0.7119535141117875
16,[13],[4],0.033437796498088035,0.2432545492574775
17,"[13, 14]",[4],0.020787211408527646,0.3492753623188406
18,[13],[4],0.033437796498088035,0.2432545492574775
19,"[13, 29]",[4],0.011213018602110348,0.6554621848739496
20,[66],[5],0.11440154107127455,0.8579128934885728
21,"[64, 66]",[5],0.09390184296023692,0.8913755458515285
22,[66],[5],0.11440154107127455,0.8579128934885728
23,"[21, 66]",[5],0.09847330439032806,0.9816566351390085
24,[35],[6],0.11460280037951755,0.813469387755102
25,"[35, 64]",[6],0.09197550386705385,0.8973352033660589
26,[35],[6],0.11460280037951755,0.813469387755102
27,"[35, 66]",[6],0.0937868376412409,0.9243411731368659
28,[10],[7],0.11721917138667663,0.8467289719626168
29,"[10, 63]",[7],0.10830625916448636,0.8673727837900068
30,[10],[7],0.11721917138667663,0.8467289719626168
31,"[10, 64]",[7],0.09071044535809782,0.9094840011530702
32,[63],[8],0.10037089215376212,0.6122413188354964
33,"[19, 63]",[8],0.09367183232224491,0.6607179071182316
34,[63],[8],0.10037089215376212,0.6122413188354964
35,"[10, 63]",[8],0.08455766079181162,0.6771816716555377
36,[51],[9],0.11520657830424658,0.7906471981057618
37,"[51, 53]",[9],0.09134297461257583,0.8325471698113208
38,[51],[9],0.11520657830424658,0.7906471981057618
39,"[40, 51]",[9],0.10039964348351112,0.9522770657212981
40,[7],[10],0.11721917138667663,0.7910360884749709
41,"[7, 63]",[10],0.10830625916448636,0.9208017599608898
42,[7],[10],0.11721917138667663,0.7910360884749709
43,"[7, 64]",[10],0.09071044535809782,0.8825174825174825
44,[19],[11],0.1386101607199333,0.8113429821608885
45,"[1, 19]",[11],0.12785716339380696,0.920132422925719
46,[19],[11],0.1386101607199333,0.8113429821608885
47,"[19, 63]",[11],0.12426324717518185,0.8764956398296492
48,[1],[12],0.13955895460165033,0.8191022612217348
49,"[1, 11]",[12],0.11696040941893562,0.8475
50,[1],[12],0.13955895460165033,0.8191022612217348
51,"[1, 19]",[12],0.11857048388487967,0.8533002276019036
52,[14],[13],0.059515252580431846,0.9473684210526316
53,"[14, 64]",[13],0.010752997326126333,0.9639175257731959
54,[14],[13],0.059515252580431846,0.9473684210526316
55,"[14, 63]",[13],0.016330755297432505,0.9759450171821306
56,[13],[14],0.059515252580431846,0.4329638151014432
57,"[13, 64]",[14],0.010752997326126333,0.5020134228187919
