,antecedent,consequent,support,confidence
0,[32],[0],0.03335154250884104,0.16505406943653958
1,"[32, 38]",[0],0.028147551824271873,0.1974188344424279
2,[32],[0],0.03335154250884104,0.16505406943653958
3,"[32, 33]",[0],0.029815128949713925,0.4935744883388863
4,[12],[1],0.13955895460165033,0.8609435970202199
5,"[11, 12]",[1],0.11696040941893562,0.9757735668025905
6,[12],[1],0.13955895460165033,0.8609435970202199
7,"[8, 12]",[1],0.11575285356947759,0.9037037037037037
8,[33],[2],0.1132802392110635,0.7197661673364998
9,"[24, 33]",[2],0.1067536873580403,0.897944377267231
10,[33],[2],0.1132802392110635,0.7197661673364998
11,"[30, 33]",[2],0.11043385756591242,0.8256663800515908
12,[65],[3],0.07311463155170926,0.7005509641873278
13,"[8, 65]",[3],0.07245335096748225,0.7381370826010545
14,[65],[3],0.07311463155170926,0.7005509641873278
15,"[65, 67]",[3],0.07098703315028321,0.7385581812743046
16,[18],[4],0.016244501308185503,0.10338517840805123
17,"[18, 41]",[4],0.012765590408556396,0.11559489716219734
18,[18],[4],0.016244501308185503,0.10338517840805123
19,"[18, 43]",[4],0.013081855035795405,0.1747311827956989
20,[21],[5],0.11885799718236968,0.931081081081081
21,"[21, 22]",[5],0.08800782036169173,0.9902944031057911
22,[21],[5],0.11885799718236968,0.931081081081081
23,"[21, 40]",[5],0.0936143296627469,0.971360381861575
24,[35],[6],0.11460280037951755,0.813469387755102
25,"[35, 39]",[6],0.09151548259106984,0.9288007003209805
26,[35],[6],0.11460280037951755,0.813469387755102
27,"[31, 35]",[6],0.09510939880969495,0.9284310973898401
28,[10],[7],0.11721917138667663,0.8467289719626168
29,"[10, 63]",[7],0.10830625916448636,0.8673727837900068
30,[10],[7],0.11721917138667663,0.8467289719626168
31,"[10, 64]",[7],0.09071044535809782,0.9094840011530702
32,[12],[8],0.12808717403179898,0.7901738205037248
33,"[1, 12]",[8],0.11575285356947759,0.8294190358467244
34,[12],[8],0.12808717403179898,0.7901738205037248
35,"[12, 67]",[8],0.10822000517523936,0.9326065411298315
36,[51],[9],0.11520657830424658,0.7906471981057618
37,"[40, 51]",[9],0.10039964348351112,0.9522770657212981
38,[51],[9],0.11520657830424658,0.7906471981057618
39,"[30, 51]",[9],0.10531612087059027,0.894723986321446
40,[63],[10],0.12486702509991088,0.7616625745352509
41,"[19, 63]",[10],0.11641413415370461,0.8211316163050091
42,[63],[10],0.12486702509991088,0.7616625745352509
43,"[7, 63]",[10],0.10830625916448636,0.9208017599608898
44,[1],[11],0.13800638279520427,0.809989875126561
45,"[1, 19]",[11],0.12785716339380696,0.920132422925719
46,[1],[11],0.13800638279520427,0.809989875126561
47,"[1, 12]",[11],0.11696040941893562,0.8380716934487021
48,[1],[12],0.13955895460165033,0.8191022612217348
49,"[1, 11]",[12],0.11696040941893562,0.8475
50,[1],[12],0.13955895460165033,0.8191022612217348
51,"[1, 8]",[12],0.11575285356947759,0.9673234022104757
52,[14],[13],0.059515252580431846,0.9473684210526316
53,"[8, 14]",[13],0.010810499985624335,0.9591836734693877
54,[14],[13],0.059515252580431846,0.9473684210526316
55,"[1, 14]",[13],0.013053103706046405,0.9618644067796611
56,[13],[14],0.059515252580431846,0.4329638151014432
57,"[8, 13]",[14],0.010810499985624335,0.5053763440860215
58,[13],[14],0.059515252580431846,0.4329638151014432
59,"[1, 13]",[14],0.013053103706046405,0.5027685492801772
60,[55],[15],0.054915039820591705,0.9095238095238096
61,"[43, 55]",[15],0.04864724993530951,0.9155844155844156
62,[55],[15],0.054915039820591705,0.9095238095238096
63,"[48, 55]",[15],0.04603087892815043,0.941764705882353
64,[32],[16],0.07167706506425922,0.3547239612976665
65,"[32, 38]",[16],0.060435295132399876,0.42387578140754184
66,[32],[16],0.07167706506425922,0.3547239612976665
67,"[20, 32]",[16],0.06106782438687789,0.5058347225529888
68,[32],[17],0.15876484287398293,0.7857142857142858
69,"[32, 38]",[17],0.11394151979529053,0.7991530550514216
70,[32],[17],0.15876484287398293,0.7857142857142858
71,"[20, 32]",[17],0.09761076449785802,0.8085258394855918
72,[41],[18],0.11043385756591242,0.8154989384288748
73,"[26, 41]",[18],0.09220551450504585,0.8397486252945796
74,[41],[18],0.11043385756591242,0.8154989384288748
75,"[1, 41]",[18],0.032143986659383,0.8880063542494043
76,[63],[19],0.1417728069923234,0.8647842862153631
77,"[11, 63]",[19],0.12426324717518185,0.9608714984437527
78,[63],[19],0.1417728069923234,0.8647842862153631
79,"[10, 63]",[19],0.11641413415370461,0.932304858392816
80,[26],[20],0.11230269399959748,0.8137500000000001
81,"[26, 41]",[20],0.09329806503550789,0.8496988740507986
82,[26],[20],0.11230269399959748,0.8137500000000001
83,"[26, 37]",[20],0.042494465369023314,0.8508923431203222
84,[5],[21],0.11885799718236968,0.8000774143603638
85,"[5, 22]",[21],0.08800782036169173,0.9042836041358937
86,[5],[21],0.11885799718236968,0.8000774143603638
87,"[5, 40]",[21],0.0936143296627469,0.8935236004390779
88,[5],[22],0.09732325120036801,0.6551190245790594
89,"[5, 21]",[22],0.08800782036169173,0.7404450895016933
90,[5],[22],0.09732325120036801,0.6551190245790594
91,"[5, 40]",[22],0.08746154509646072,0.8347969264544457
92,[49],[23],0.0741496794226733,0.9068213783403656
93,"[46, 49]",[23],0.06687559299617607,0.9627483443708609
94,[49],[23],0.0741496794226733,0.9068213783403656
95,"[49, 52]",[23],0.04939478450878353,0.9717194570135748
96,[30],[24],0.1257008136626319,0.7573185518794388
97,"[30, 33]",[24],0.11414277910353354,0.8533963886500431
98,[30],[24],0.1257008136626319,0.7573185518794388
99,"[2, 30]",[24],0.11152640809637446,0.9387705711519845
100,[40],[25],0.09927834162330008,0.7991205739412174
101,"[9, 40]",[25],0.09232051982404187,0.8414570230607967
102,[40],[25],0.09927834162330008,0.7991205739412174
103,"[22, 40]",[25],0.08174003047640953,0.9005384859043395
104,[20],[26],0.11230269399959748,0.7615519594462858
105,"[20, 41]",[26],0.09329806503550789,0.9373194685153091
106,[20],[26],0.11230269399959748,0.7615519594462858
107,"[20, 37]",[26],0.042494465369023314,0.9208722741433021
108,[17],[27],0.1351600011500532,0.4026207605344296
109,"[17, 32]",[27],0.09168799056956384,0.5775081492212966
110,[17],[27],0.1351600011500532,0.4026207605344296
111,"[17, 60]",[27],0.034329087720307065,0.6549643444871092
112,[24],[28],0.09559817141542797,0.6699576868829337
113,"[24, 30]",[28],0.0937580863114919,0.7458828911253431
114,[24],[28],0.09559817141542797,0.6699576868829337
115,"[2, 24]",[28],0.09096920732583882,0.7911977994498625
116,[62],[29],0.1128202179350795,0.4625722032299894
117,"[30, 62]",[29],0.04111440154107127,0.5416666666666666
118,[62],[29],0.1128202179350795,0.4625722032299894
119,"[16, 62]",[29],0.08677151318248469,0.9101326899879373
120,[24],[30],0.1257008136626319,0.8809187991134394
121,"[24, 33]",[30],0.11414277910353354,0.9600967351874244
122,[24],[30],0.1257008136626319,0.8809187991134394
123,"[2, 24]",[30],0.11152640809637446,0.9699924981245311
124,[33],[31],0.12092809292429775,0.7683595177201316
125,"[24, 33]",[31],0.10134843736522814,0.8524788391777509
126,[33],[31],0.12092809292429775,0.7683595177201316
127,"[30, 33]",[31],0.11175641873436647,0.8355546001719691
128,[38],[32],0.14257784422529543,0.8770781747435444
129,"[38, 43]",[32],0.10235473390644317,0.9109518935516888
130,[38],[32],0.14257784422529543,0.8770781747435444
131,"[20, 38]",[32],0.10617866076306029,0.9304610733182161
132,[30],[33],0.13375118599235214,0.8058201974709855
133,"[24, 30]",[33],0.11414277910353354,0.9080512351326625
134,[30],[33],0.13375118599235214,0.8058201974709855
135,"[2, 30]",[33],0.11043385756591242,0.9295740561471443
136,[2],[34],0.08979040280612978,0.7112275108175814
137,"[2, 24]",[34],0.08849659296742474,0.7696924231057763
138,[2],[34],0.08979040280612978,0.7112275108175814
139,"[2, 33]",[34],0.08562145999252466,0.7558375634517767
140,[6],[35],0.11460280037951755,0.8750823271130626
141,"[6, 39]",[35],0.09151548259106984,0.9350763807285547
142,[6],[35],0.11460280037951755,0.8750823271130626
143,"[6, 31]",[35],0.09510939880969495,0.9070468878530299
144,[32],[36],0.09393059428998592,0.46485486624928857
145,"[32, 38]",[36],0.0805324746269515,0.5648316192780802
146,[32],[36],0.09393059428998592,0.46485486624928857
147,"[18, 32]",[36],0.07483971133664932,0.8914383561643835
148,[23],[37],0.09122796929357983,0.799445704207609
149,"[23, 28]",[37],0.08358011558034559,0.8983312731767614
150,[23],[37],0.09122796929357983,0.799445704207609
151,"[23, 24]",[37],0.08496017940829763,0.8515850144092219
152,[32],[38],0.14257784422529543,0.7056061468412067
153,"[32, 43]",[38],0.10235473390644317,0.9676542538733351
154,[32],[38],0.14257784422529543,0.7056061468412067
