,Unnamed: 0,FpExecTime,FpTransformRuleTime,FpTotalTime,FpSupportAvg,FpConfAvg,nbNotNull,nnAvgSupp,nnAvgConf,nnFindInFp,FpFindInnn,timeTraining,timeCreatingRule,timeComputingMeasure,iter,goalLoss,nbEpoch,Unnamed: 0,iter,timeNSGAII,avgSuppNSGAII,avgConfNSGAII,nbRules,NSGAIIFindInFp,FpFindInNSGAII,NSGAIINbNotNull
0,0,25.82999992370605,8.328037023544312,34.158036947250366,0.5197112676056338,0.5416830985915494,299,0.4613558614935335,0.5080311194450443,0.1,0.15,0.3259356021881103,0.3070590496063232,1.7410590648651123,0,0.1,3,0,0,75.87982892990112,0.3177775930851064,0.7163633338654631,256,0.01,0.01,242
1,1,25.556999683380127,8.388000011444092,33.94499969482422,0.5197112676056338,0.5416830985915494,294,0.4792730496453901,0.5049105282218667,0.12,0.19,0.3381257057189941,0.2968778610229492,0.3379981517791748,1,0.1,3,1,1,124.79625034332275,0.3446853891792221,0.7335798738294679,262,0.03,0.03,246
2,2,25.509000301361084,8.295000314712524,33.80400061607361,0.5197112676056338,0.5416830985915494,297,0.4901846057571964,0.4980075416465068,0.3,0.43,0.326951265335083,0.3030502796173095,0.3479914665222168,2,0.1,3,2,2,89.69198560714722,0.3100839702109907,0.6962193914208803,282,0.01,0.01,262
3,3,26.29725646972656,8.449028491973877,34.74628496170044,0.5197112676056338,0.5416830985915494,298,0.4881080517313308,0.5094588704604652,0.32,0.43,0.4068906307220459,0.3041331768035888,0.3429994583129883,3,0.1,3,3,3,98.71292328834534,0.3260523144637116,0.7126772191630123,269,0.01,0.01,247
4,4,28.373154640197757,8.319595336914062,36.692749977111816,0.5197112676056338,0.5416830985915494,298,0.4892438464747601,0.499538885349033,0.11,0.14,0.374302864074707,0.3256950378417969,0.3530702590942383,4,0.1,2,4,4,78.36904549598694,0.3647381889964081,0.7034605495455306,246,0.01,0.01,225
5,5,27.41515588760376,8.3930823802948,35.80823826789856,0.5197112676056338,0.5416830985915494,296,0.4675677930746766,0.5098412097467342,0.07,0.11,0.3584713935852051,0.3115296363830566,0.317000150680542,5,0.1,3,5,5,97.06078600883484,0.3609501796600589,0.703432118670676,248,0.04,0.04,227
6,6,26.536489009857178,8.402973890304565,34.93946290016174,0.5197112676056338,0.5416830985915494,299,0.4866447642886942,0.4965022127919642,0.09,0.14,0.346205472946167,0.3098204135894775,0.3977572917938232,6,0.1,2,6,6,77.85749912261963,0.3231962957499155,0.6935123225906602,263,0.02,0.02,238
7,7,25.587035179138184,8.38699746131897,33.97403264045715,0.5197112676056338,0.5416830985915494,294,0.489808093450146,0.4949870791993,0.15,0.24,0.3920154571533203,0.3049831390380859,0.3289980888366699,7,0.1,3,7,7,121.3326826095581,0.3433231227750641,0.7341777226263491,257,0.01,0.02,240
8,8,28.648941040039062,8.501919984817505,37.15086102485657,0.5197112676056338,0.5416830985915494,291,0.4745963704630788,0.5069397527977246,0.05,0.08,0.4099886417388916,0.3000087738037109,0.2649998664855957,8,0.1,2,8,8,88.60336947441101,0.3242039415211042,0.711949656252173,276,0.02,0.02,256
9,9,27.947444200515747,8.46602177619934,36.41346597671509,0.5197112676056338,0.5416830985915494,292,0.4875177304964539,0.4981935043111252,0.07,0.12,0.4428958892822265,0.3128349781036377,0.4240980148315429,9,0.1,4,9,9,94.99407362937929,0.3118931426379749,0.7215782610824768,248,0.02,0.02,227
