,FpExecTime,FpTransformRuleTime,FpTotalTime,FpSupportAvg,FpConfAvg,nbNotNull,nnAvgSupp,nnAvgConf,nnFindInFp,FpFindInnn,timeTraining,timeCreatingRule,timeComputingMeasure,iter,goalLoss,nbEpoch
0,0.7969989776611328,0.63602614402771,1.4330251216888428,0.1167983870967742,0.3664596774193548,125,0.09674177758487648,0.3332972602417832,0.19,0.34,0.19198369979858398,0.18799114227294922,2.35982608795166,0,0.1,0
1,0.743025541305542,0.6009736061096191,1.3439991474151611,0.1167983870967742,0.3664596774193548,123,0.09786904417438265,0.345949085431451,0.22,0.38,0.15097522735595703,0.1520249843597412,0.29000043869018555,1,0.1,0
2,0.7489995956420898,0.6120002269744873,1.3609998226165771,0.1167983870967742,0.3664596774193548,127,0.10014105902777773,0.3300839640015056,0.27,0.45,0.15497326850891113,0.15602707862854004,0.30299878120422363,2,0.1,0
3,0.7710015773773193,0.6209981441497803,1.3919997215270996,0.1167983870967742,0.3664596774193548,127,0.09811137635030859,0.3271514934888097,0.23,0.41,0.19911551475524902,0.15091276168823242,0.3759946823120117,3,0.1,0
4,0.7680020332336426,0.6149981021881104,1.383000135421753,0.1167983870967742,0.3664596774193548,120,0.09921573591820984,0.3306826949599435,0.23,0.41,0.14896512031555176,0.15003466606140137,0.28699755668640137,4,0.1,0
5,0.7700254917144775,0.6049752235412598,1.3750007152557373,0.1167983870967742,0.3664596774193548,125,0.09934051890432093,0.3321758872024897,0.24,0.41,0.18308186531066895,0.1449451446533203,0.37804412841796875,5,0.1,0
6,0.7809288501739502,0.6099953651428223,1.3909242153167725,0.1167983870967742,0.3664596774193548,125,0.10087227527006168,0.34021620217401993,0.27,0.48,0.16390514373779297,0.15608692169189453,0.2940239906311035,6,0.1,0
7,0.6900002956390381,0.6119732856750488,1.301973581314087,0.1167983870967742,0.3664596774193548,124,0.09547345196759252,0.32671621817129637,0.2,0.38,0.1579890251159668,0.15203237533569336,0.3652970790863037,7,0.1,0
8,0.8610506057739258,0.6214816570281982,1.482532262802124,0.1167983870967742,0.3664596774193548,120,0.09483084972993822,0.32806947033106776,0.19,0.34,0.19708514213562012,0.16691231727600098,0.39365077018737793,8,0.1,0
9,0.7939996719360352,0.6100265979766846,1.4040262699127197,0.1167983870967742,0.3664596774193548,125,0.09673876350308637,0.33584114239339213,0.23,0.39,0.14291667938232422,0.14908313751220703,0.28499531745910645,9,0.1,0
