,FpExecTime,FpTransformRuleTime,FpTotalTime,FpSupportAvg,FpConfAvg,nbNotNull,nnAvgSupp,nnAvgConf,nnFindInFp,FpFindInnn,timeTraining,timeCreatingRule,timeComputingMeasure,iter,goalLoss,nbEpoch
0,25.829999923706055,8.328037023544312,34.158036947250366,0.5197112676056338,0.5416830985915494,299,0.4613558614935335,0.5080311194450443,0.1,0.15,0.32593560218811035,0.30705904960632324,1.7410590648651123,0,0.1,3
1,25.556999683380127,8.388000011444092,33.94499969482422,0.5197112676056338,0.5416830985915494,294,0.4792730496453901,0.5049105282218667,0.12,0.19,0.33812570571899414,0.2968778610229492,0.3379981517791748,1,0.1,3
2,25.509000301361084,8.295000314712524,33.80400061607361,0.5197112676056338,0.5416830985915494,297,0.4901846057571964,0.4980075416465068,0.3,0.43,0.326951265335083,0.30305027961730957,0.3479914665222168,2,0.1,3
3,26.297256469726562,8.449028491973877,34.74628496170044,0.5197112676056338,0.5416830985915494,298,0.48810805173133087,0.5094588704604652,0.32,0.43,0.4068906307220459,0.30413317680358887,0.3429994583129883,3,0.1,3
4,28.373154640197754,8.319595336914062,36.692749977111816,0.5197112676056338,0.5416830985915494,298,0.48924384647476016,0.49953888534903307,0.11,0.14,0.37430286407470703,0.3256950378417969,0.3530702590942383,4,0.1,2
5,27.41515588760376,8.3930823802948,35.80823826789856,0.5197112676056338,0.5416830985915494,296,0.46756779307467666,0.5098412097467342,0.07,0.11,0.3584713935852051,0.31152963638305664,0.317000150680542,5,0.1,3
6,26.536489009857178,8.402973890304565,34.93946290016174,0.5197112676056338,0.5416830985915494,299,0.4866447642886942,0.49650221279196427,0.09,0.14,0.346205472946167,0.30982041358947754,0.39775729179382324,6,0.1,2
7,25.587035179138184,8.38699746131897,33.97403264045715,0.5197112676056338,0.5416830985915494,294,0.48980809345014603,0.4949870791993,0.15,0.24,0.3920154571533203,0.30498313903808594,0.3289980888366699,7,0.1,3
8,28.648941040039062,8.501919984817505,37.15086102485657,0.5197112676056338,0.5416830985915494,291,0.47459637046307884,0.5069397527977246,0.05,0.08,0.4099886417388916,0.30000877380371094,0.2649998664855957,8,0.1,2
9,27.947444200515747,8.46602177619934,36.41346597671509,0.5197112676056338,0.5416830985915494,292,0.4875177304964539,0.49819350431112525,0.07,0.12,0.44289588928222656,0.3128349781036377,0.42409801483154297,9,0.1,4
