,FpExecTime,FpTransformRuleTime,FpTotalTime,FpSupportAvg,FpConfAvg,nbNotNull,nnAvgSupp,nnAvgConf,nnFindInFp,FpFindInnn,timeTraining,timeCreatingRule,timeComputingMeasure,iter,goalLoss,nbEpoch
0,108.72988152503967,8.905728101730347,117.63560962677002,0.09213261648745519,0.6958817204301075,280,0.08485236192173884,0.7706100325570724,0.28,0.41,0.3560447692871094,0.43097829818725586,2.599294900894165,0,0.1,0
1,111.1384174823761,8.995142698287964,120.13356018066406,0.09213261648745519,0.6958817204301075,280,0.08326077045349058,0.7646592755670846,0.28,0.42,0.34390878677368164,0.4590945243835449,0.7705879211425781,1,0.1,0
2,104.48918032646179,8.651503324508667,113.14068365097046,0.09213261648745519,0.6958817204301075,280,0.08459277848743357,0.7400347758515289,0.32,0.48,0.3295767307281494,0.4484255313873291,0.8410427570343018,2,0.1,0
3,104.69633173942566,8.731772661209106,113.42810440063477,0.09213261648745519,0.6958817204301075,280,0.08118194662931728,0.7205285654191486,0.33,0.48,0.3219139575958252,0.4361727237701416,0.9025285243988037,3,0.1,0
4,104.52621507644653,8.752079486846924,113.27829456329346,0.09213261648745519,0.6958817204301075,280,0.08171620794604603,0.7421347766824267,0.3,0.46,0.32108521461486816,0.4179413318634033,0.8870449066162109,4,0.1,0
5,104.7463858127594,8.728157758712769,113.47454357147217,0.09213261648745519,0.6958817204301075,280,0.08616147157520317,0.75634130225188,0.33,0.49,0.3250255584716797,0.40599775314331055,0.8901796340942383,5,0.1,0
6,104.60621619224548,8.807000875473022,113.4132170677185,0.09213261648745519,0.6958817204301075,280,0.08528845798403886,0.7696047568337038,0.3,0.46,0.32300758361816406,0.42296648025512695,0.9068801403045654,6,0.1,0
7,103.35115051269531,8.73601508140564,112.08716559410095,0.09213261648745519,0.6958817204301075,280,0.0847976317118952,0.7621936084139327,0.28,0.44,0.3079237937927246,0.4111018180847168,0.7779998779296875,7,0.1,0
8,107.14532589912415,8.652007818222046,115.79733371734619,0.09213261648745519,0.6958817204301075,280,0.08161537292528345,0.7556949790981017,0.25,0.38,0.313976526260376,0.4190242290496826,0.7789995670318604,8,0.1,0
9,104.01756930351257,8.636013746261597,112.65358304977417,0.09213261648745519,0.6958817204301075,280,0.08432580185404999,0.7577569823274808,0.31,0.46,0.3170902729034424,0.4259345531463623,0.7849998474121094,9,0.1,0
